symbol,date,open,high,low,close,volume,count
SH000001,202207220000,832.7680,854.1690,826.8770,835.6220,230294207,2466203185
SH000001,202207250000,828.0560,831.4480,812.1140,814.7900,189383776,1970278975
SH000001,202207260000,841.5770,852.3800,837.8160,846.1270,367927822,3759854080
SH000001,202207270000,835.0520,840.5950,826.2870,831.1080,265550782,2728935519
SH000001,202207280000,832.1800,837.0980,822.8070,824.1610,188455375,1931798470
SH000001,202207290000,812.8640,812.8640,794.3180,796.5580,264856957,2731480409
SH000001,202208010000,793.0590,799.4910,787.3210,793.7550,146903798,1489815452
SH000001,202208020000,773.4830,773.4830,746.8610,755.5100,277710701,2570766460
SH000001,202208030000,765.0760,766.1570,740.8410,741.4450,174259543,1685120372
SH000001,202208040000,750.2880,763.8680,735.5070,763.7570,161754146,1555242126
SH000001,202208050000,756.6770,763.4910,752.4680,763.4770,113140454,1093558768
SH000001,202208080000,737.8360,757.4130,737.8360,754.9950,139162393,1334004538
SH000001,202208090000,754.8080,759.6580,750.6010,751.9400,100752025,964682439
SH000001,202208100000,748.5520,756.1560,744.4050,750.6820,108344897,1046352582
SH000001,202208110000,752.2840,768.1640,750.4500,766.4650,157345893,1484466190
SH000001,202208120000,764.0020,777.5990,764.0020,775.2500,153811853,1424010595
SH000001,202208150000,765.9260,768.8590,764.4100,767.1450,116542911,1112198099
SH000001,202208160000,767.1470,769.1820,760.5820,766.7790,113114286,1097270104
SH000001,202208170000,768.8370,783.1270,763.0370,782.9700,153775102,1554990391
SH000001,202208180000,779.3090,779.3090,769.0100,771.0490,140830956,1457870275
SH000001,202208190000,773.3520,775.8480,768.5140,768.5140,100271109,1058906949
SH000001,202208220000,761.5640,787.0920,761.5640,784.8350,180586651,1757180781
SH000001,202208230000,780.8560,792.5390,776.7880,790.1980,160866512,1605577894
SH000001,202208240000,787.5880,801.1240,777.3160,780.8070,172639496,1761263158
SH000001,202208250000,782.7260,791.6640,774.5150,779.4590,138742972,1424004715
SH000001,202208260000,789.6430,808.9940,789.3460,797.3600,248862545,2466670296
SH000001,202208290000,781.6490,817.4430,781.6490,810.5120,240081379,2365678983
SH000001,202208300000,809.9600,816.1800,803.6220,811.1700,181429411,1895357590
SH000001,202208310000,810.7490,830.7580,802.2620,820.3180,307975702,2942514262
SH000001,202209010000,812.1110,828.4760,791.3020,795.7500,293564821,2879474183
SH000001,202209020000,784.9350,804.6290,779.6470,804.6290,224882734,2162947833
SH000001,202209050000,799.6040,799.6040,782.0690,788.7750,151351631,1459808614
SH000001,202209060000,790.0490,810.8790,788.6090,807.7150,199679458,1981659133
SH000001,202209070000,802.3460,816.0420,798.9520,809.8850,154044178,1569052136
SH000001,202209080000,818.1830,837.0770,815.8600,826.5880,324532729,3213618567
SH000001,202209090000,808.1490,818.6830,802.2900,818.1150,252768550,2377544476
SH000001,202209130000,820.6590,831.3000,812.1920,830.1520,207831680,2043120790
SH000001,202209140000,821.4940,836.7310,818.6460,830.7130,171174732,1702627029
SH000001,202209150000,840.6630,843.8920,819.9660,835.1180,240927849,2384613507
SH000001,202209160000,828.9570,857.9230,821.2200,821.2200,317389348,3315263692
SH000001,202209190000,819.1680,847.9660,819.1680,844.8210,350861957,3634564673
SH000001,202209200000,835.1210,855.1360,835.1210,855.1360,324719578,3360399847
SH000001,202209210000,839.8500,843.7000,821.4600,837.0750,251074884,2579602843
SH000001,202209220000,834.3460,838.2760,812.6970,814.8100,236819199,2327907341
SH000001,202209230000,810.6730,820.0470,785.5610,785.7520,229147737,2280946383
SH000001,202209260000,788.1600,822.5210,788.1600,802.6830,352505525,3270107449
SH000001,202209270000,803.9410,851.3510,780.1140,848.5580,481401115,4647562881
SH000001,202209280000,830.9930,840.5760,810.9860,811.1620,319201525,3148529609
SH000001,202209290000,814.5290,814.5290,777.0770,780.6470,266510932,2551904059
SH000001,202209300000,779.6080,789.1320,749.7300,751.4250,226248642,2120610566
SH000001,202210100000,733.9900,734.6770,710.8250,712.4310,235456002,2094482025
SH000001,202210110000,706.1680,706.1680,690.5960,696.7760,179743106,1517659289
SH000001,202210120000,688.8250,696.1040,671.4370,695.4740,199401523,1605811981
SH000001,202210130000,688.7160,707.2120,683.8840,699.2720,158278729,1348526913
SH000001,202210140000,703.4610,713.1190,700.6720,712.4350,170252670,1483268494
SH000001,202210170000,708.8490,721.2360,701.8100,718.5790,149538161,1312422189
SH000001,202210180000,736.7680,746.1840,722.2730,724.1680,242499428,2165905547
SH000001,202210190000,717.7510,730.6110,713.6160,714.2670,159653043,1386066035
SH000001,202210200000,709.4660,755.8300,706.3350,744.4070,305320626,2669315403
SH000001,202210210000,735.5830,745.1580,732.6340,739.4140,208468707,1832765939
SH000001,202210240000,735.3240,740.6440,707.6130,709.0140,198253233,1691396875
SH000001,202210250000,710.7240,729.6360,708.0240,723.7150,179820934,1542145291
SH000001,202210260000,730.3350,748.3700,729.3730,737.5490,219848610,1949722743
SH000001,202210270000,745.3560,761.0710,739.1360,749.1560,206943796,1938919230
SH000001,202210280000,756.4370,768.5870,734.9780,742.3320,226306896,2284151711
SH000001,202210310000,728.4130,742.3840,719.5060,729.0730,223093230,2047648557
SH000001,202211010000,734.9170,784.2220,729.0770,783.8010,356883065,3393508559
SH000001,202211020000,781.3570,818.2630,779.9770,801.8450,555448185,5637421456
SH000001,202211030000,805.3980,831.5480,800.6200,817.4520,382301641,3732762866
SH000001,202211040000,815.4100,867.2110,813.8110,847.1480,493184694,5064853895
SH000001,202211070000,832.3030,844.6000,828.8780,842.4390,347600859,3636427032
SH000001,202211080000,841.1820,841.4490,825.4710,828.4620,209878210,2304913667
SH000001,202211090000,828.5570,857.1440,824.7380,843.3570,266719405,2862481459
SH000001,202211100000,835.7060,874.5450,835.6590,865.5110,348555362,3690759400
SH000001,202211110000,879.1660,906.9420,833.7100,873.8760,694158437,7316656098
SH000001,202211140000,856.9880,865.8260,841.7410,850.2150,421926289,4409855625
SH000001,202211150000,861.0870,888.8530,861.0870,871.1370,362886988,3886604915
SH000001,202211160000,899.9260,899.9260,869.2270,871.7650,397821795,4224553870
SH000001,202211170000,864.8730,889.2660,861.0570,880.3660,292095464,3104043423
SH000001,202211180000,867.2180,868.8530,846.7950,846.7950,281356287,2925394736
SH000001,202211210000,832.6740,837.7840,816.5230,822.6950,247190794,2471977786
SH000001,202211220000,821.1710,821.1710,798.2320,801.5890,203682799,1967140512
SH000001,202211230000,795.4360,795.4360,779.4750,790.1910,173813303,1662902978
SH000001,202211240000,793.7650,795.0070,783.5080,785.4350,134619881,1320463929
